airport_code,airport_name,month,year,num_of_flights_total,num_of_delays_carrier,num_of_delays_late_aircraft,num_of_delays_nas,num_of_delays_security,num_of_delays_weather,num_of_delays_total,minutes_delayed_carrier,minutes_delayed_late_aircraft,minutes_delayed_nas,minutes_delayed_security,minutes_delayed_weather,minutes_delayed_total
SLC,"Salt Lake City, UT: Salt Lake City International",September,2011,9456,241,279,158,3,15,697,10978,14692,4498,103,893,31164
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",October,NA,33298,965,1307,1730,3,58,4062,76282,77938,52752,213,4539,211724
DEN,,October,2011,19813,551,943,690,4,38,2225,NA,52010,25349,79,3040,111803
IAD,"Washington, DC: Washington Dulles International",October,2011,6109,245,388,329,1,15,980,16512,26450,10872,14,822,54670
ORD,"Chicago, IL: Chicago O'Hare International",October,2011,26324,835,1265,1116,2,58,3281,61998,69761,39442,77,4317,175595
SAN,"San Diego, CA: San Diego International",October,2011,6324,276,296,293,3,45,911,12609,15275,9284,73,2885,40126
SFO,"San Francisco, CA: San Francisco International",October,2011,12905,514,920,1705,4,50,3192,31017,55984,86262,103,3369,176735
SLC,"Salt Lake City, UT: Salt Lake City International",October,2011,9536,228,286,209,1,13,736,12507,14799,5896,35,1033,34270
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",November,2011,31322,944,1476,1491,4,41,3957,69253,83898,44902,113,2982,201148
DEN,"Denver, CO: Denver International",November,2011,18515,543,858,638,0,38,2081,28968,45980,18685,0,2443,96076
IAD,"Washington, DC: Washington Dulles International",November,2011,5832,232,355,164,1,3,757,14090,22289,4749,22,377,41527
ORD,"Chicago, IL: Chicago O'Hare International",November,2011,24395,785,1342,2564,2,96,4790,66858,84136,159356,54,7656,318060
SAN,"San Diego, CA: San Diego International",November,2011,5980,264,308,312,5,28,919,13110,14756,9615,121,1424,39026
SFO,"San Francisco, CA: San Francisco International",November,2011,12099,446,856,1862,1,73,3235,24156,61002,109180,35,4266,198639
SLC,"Salt Lake City, UT: Salt Lake City International",November,2011,8806,253,337,264,0,17,871,13976,17975,7172,7,897,40027
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",December,2011,31207,1054,1373,1771,6,79,4283,86732,93342,75391,225,5890,261580
DEN,"Denver, CO: Denver International",December,2011,19779,764,1447,1423,14,93,3741,43279,88813,53313,413,6809,192627
IAD,"Washington, DC: Washington Dulles International",n/a,2011,6185,260,350,172,0,12,793,15363,22884,5082,5,693,44027
ORD,"Chicago, IL: Chicago O'Hare International",December,2011,24656,815,1263,1410,3,63,3556,62671,74964,55564,75,3122,196396
SAN,"San Diego, CA: San Diego International",December,2011,6316,292,308,192,3,21,819,12906,15708,5412,59,3149,37234
SFO,"San Francisco, CA: San Francisco International",December,2011,12412,389,763,976,1,41,2170,22153,51529,62679,19,3618,139998
SLC,"Salt Lake City, UT: Salt Lake City International",December,2011,9246,307,389,243,2,17,957,15312,21508,6569,45,1549,44983
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",January,NA,31351,961,1548,2023,2,105,4638,84985,106917,76563,53,9484,278002
DEN,"Denver, CO: Denver International",January,2012,18986,608,1058,827,1,78,2570,34950,62835,30073,39,6863,134760
IAD,"Washington, DC: Washington Dulles International",January,2012,5781,273,390,234,0,22,916,14739,25591,6879,0,1591,48800
ORD,"Chicago, IL: Chicago O'Hare International",January,2012,24791,845,1432,1461,5,156,3896,68995,97081,68329,125,15737,250267
SAN,"San Diego, CA: San Diego International",January,2012,6119,257,316,181,3,45,804,13343,18239,6275,73,4815,42745
SFO,"San Francisco, CA: San Francisco International",January,2012,13437,460,758,1850,3,108,3179,36826,58411,143081,243,9308,247869
SLC,,January,2012,9106,271,363,277,1,30,941,13497,20453,8275,70,3241,45536
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Febuary,2012,29757,824,1246,1369,6,63,3509,74173,76126,41837,317,5542,197995
DEN,"Denver, CO: Denver International",Febuary,2012,18177,637,955,1076,2,121,2792,37696,54577,47945,54,8735,149007
IAD,"Washington, DC: Washington Dulles International",Febuary,2012,5636,189,269,136,2,16,613,12700,18225,4564,202,1095,36786
ORD,"Chicago, IL: Chicago O'Hare International",Febuary,2012,23697,646,1142,1243,3,131,3164,57026,76563,70284,46,16482,220401
SAN,"San Diego, CA: San Diego International",Febuary,2012,5878,257,244,193,4,10,709,12425,11478,5473,192,539,30107
SFO,"San Francisco, CA: San Francisco International",Febuary,2012,12663,417,706,1111,4,55,2290,25245,42430,NA,291,2891,127138
SLC,"Salt Lake City, UT: Salt Lake City International",Febuary,2012,8660,282,307,287,2,22,898,14788,17580,7847,51,1315,41581
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",March,2012,33669,1244,2155,1829,7,100,5331,99415,133952,56868,200,6878,297313
DEN,"Denver, CO: Denver International",March,2012,20347,757,1165,667,7,66,2662,44010,67390,21501,150,4497,137548
IAD,"Washington, DC: Washington Dulles International",March,2012,6467,427,555,315,2,36,1333,23371,36619,9984,31,2103,72108
ORD,"Chicago, IL: Chicago O'Hare International",March,2012,25618,950,1688,1954,1,227,4823,79514,112502,105020,25,18846,315907
SAN,"San Diego, CA: San Diego International",March,2012,6527,311,410,241,3,15,981,14968,23026,7080,79,1424,46577
SFO,"San Francisco, CA: San Francisco International",March,2012,14067,606,1082,2198,1,88,3976,39224,81595,179466,38,7004,307327
SLC,"Salt Lake City, UT: Salt Lake City International",March,2012,9833,314,429,241,1,19,1006,17379,23685,7091,14,1484,49653
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",April,2012,32653,875,1146,1056,6,39,3124,74651,65596,29270,188,2983,172688
DEN,"Denver, CO: Denver International",April,2012,19158,633,951,728,5,63,2379,36329,52534,25289,160,4179,118491
IAD,"Washington, DC: Washington Dulles International",April,2012,6221,267,323,195,1,23,808,NA,20625,5572,24,1508,43332
ORD,"Chicago, IL: Chicago O'Hare International",April,2012,25810,845,1255,1024,5,70,3200,67195,70581,35343,171,5896,179186
SAN,"San Diego, CA: San Diego International",April,2012,6329,287,341,206,2,27,863,NA,18038,6324,53,1902,40752
SFO,"San Francisco, CA: San Francisco International",April,2012,13952,511,932,1482,1,65,2992,29343,60238,92107,15,4596,186299
SLC,"Salt Lake City, UT: Salt Lake City International",April,2012,9052,225,322,158,3,19,726,11671,15734,4198,225,1497,33325
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",May,2012,33882,1136,1775,1724,2,101,4740,88752,109305,58172,54,7710,263993
DEN,"Denver, CO: Denver International",May,2012,19607,720,1040,686,12,59,2518,38282,59492,21087,394,4584,123839
IAD,"Washington, DC: Washington Dulles International",May,2012,6696,362,493,431,1,50,1339,24968,35233,17203,32,3935,81371
ORD,"Chicago, IL: Chicago O'Hare International",May,2012,26746,958,1574,1771,3,235,4543,82820,112035,113201,182,27449,335687
SAN,"San Diego, CA: San Diego International",May,2012,6575,332,309,159,1,27,832,16506,17502,NA,27,2118,42059
SFO,"San Francisco, CA: San Francisco International",n/a,2012,14448,601,994,1592,5,91,3285,37482,69913,92496,185,5886,205962
SLC,"Salt Lake City, UT: Salt Lake City International",May,2012,9050,235,277,151,2,21,683,13222,13726,4918,79,1336,33281
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",June,2012,34227,1255,1876,1718,3,139,4993,100881,121301,66316,92,9826,298416
DEN,"Denver, CO: Denver International",June,2012,20862,1027,1605,1116,8,86,3843,64078,95170,42075,179,7223,208725
IAD,"Washington, DC: Washington Dulles International",June,2012,6429,428,577,386,2,32,1424,29064,41365,17208,43,2555,90235
ORD,"Chicago, IL: Chicago O'Hare International",June,2012,27161,1232,1868,1304,7,104,4513,109221,129262,69190,207,9205,317085
SAN,"San Diego, CA: San Diego International",June,2012,6772,463,505,204,2,25,1197,24077,30129,6854,66,1897,63023
SFO,"San Francisco, CA: San Francisco International",June,2012,14937,818,1342,2061,6,115,4345,58053,100850,162865,306,10204,332278
SLC,"Salt Lake City, UT: Salt Lake City International",June,2012,9479,358,426,173,3,20,978,20494,24885,5902,57,1662,53000
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",July,2012,34915,1500+,2628,2950,6,254,7465,128745,195296,-999,341,22845,508667
DEN,"Denver, CO: Denver International",July,2012,22168,1128,2254,1139,8,133,4666,69281,142940,43457,181,9488,265347
IAD,"Washington, DC: Washington Dulles International",July,2012,6532,480,861,515,0,51,1907,32694,71520,31606,0,4981,140801
ORD,"Chicago, IL: Chicago O'Hare International",July,2012,27657,1500+,3014,2108,8,201,6860,NA,230402,127465,215,17100,503942
SAN,,July,2012,7035,497,616,195,2,46,1357,25039,40376,7897,66,3290,76668
SFO,"San Francisco, CA: San Francisco International",July,2012,15711,875,1774,2077,9,142,4877,63540,134303,156068,220,11877,366008
SLC,"Salt Lake City, UT: Salt Lake City International",July,2012,9844,413,576,245,2,29,1266,25616,33615,8108,54,2137,69530
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",August,2012,34724,1360,2348,2312,3,167,6190,113241,164333,107493,183,15039,400289
DEN,"Denver, CO: Denver International",August,2012,21763,1074,1619,749,10,60,3514,66887,94871,28187,389,3852,194186
IAD,"Washington, DC: Washington Dulles International",August,2012,6506,431,664,424,3,34,1554,29141,50337,21773,49,3406,104706
ORD,"Chicago, IL: Chicago O'Hare International",August,2012,28106,1366,2538,1633,8,151,5696,109759,175885,96841,779,13934,397198
SAN,"San Diego, CA: San Diego International",August,2012,6867,455,587,206,4,27,1277,22166,35514,8600,249,2133,68662
SFO,,August,2012,15716,865,1665,2082,4,116,4728,58275,114085,136091,336,8650,317437
SLC,"Salt Lake City, UT: Salt Lake City International",August,2012,9821,441,455,202,2,25,1126,24370,24366,6958,71,1541,57306
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",September,2012,31593,989,1492,1235,5,60,3780,90140,88351,41046,154,3577,223268
DEN,"Denver, CO: Denver International",September,2012,18795,700,898,644,7,38,2289,39353,48555,22482,331,1966,112687
IAD,"Washington, DC: Washington Dulles International",September,2012,6577,280,446,401,0,27,1155,17545,30045,19950,0,1974,69514
ORD,"Chicago, IL: Chicago O'Hare International",September,2012,25694,1158,1873,1576,3,66,4680,NA,114789,63229,274,4884,270707
SAN,"San Diego, CA: San Diego International",n/a,2012,6185,306,399,238,3,25,974,15940,21303,8153,81,1536,47013
SFO,"San Francisco, CA: San Francisco International",September,2012,14184,667,1342,2402,5,80,4493,45027,91766,132079,145,4747,273764
SLC,,September,2012,8871,230,256,154,0,17,657,15221,14890,4291,0,771,35173
ATL,,October,NA,33102,1093,1782,1910,1,67,4852,89837,98314,65343,38,4177,257709
DEN,"Denver, CO: Denver International",October,2012,19305,800,1163,914,3,24,2904,41603,59755,27417,77,1873,130725
IAD,"Washington, DC: Washington Dulles International",October,2012,6873,284,479,193,3,10,970,16959,33245,6860,72,537,57673
ORD,"Chicago, IL: Chicago O'Hare International",October,2012,27000,1205,2098,2416,5,91,5817,102230,135063,134381,225,9434,381337
SAN,"San Diego, CA: San Diego International",October,2012,6427,381,453,338,7,37,1216,18827,24431,12607,253,4228,60346
SFO,"San Francisco, CA: San Francisco International",October,2012,14756,763,1370,2635,3,105,4876,46627,99657,152448,144,6745,305621
SLC,"Salt Lake City, UT: Salt Lake City International",October,2012,9164,318,375,319,0,11,1024,17957,19651,9464,2,1516,48590
ATL,,November,2012,31061,880,1095,919,3,26,2923,71562,62645,26432,96,2229,162964
DEN,"Denver, CO: Denver International",November,2012,17851,603,899,568,4,24,2100,34686,49854,17235,217,2148,104140
IAD,"Washington, DC: Washington Dulles International",November,2012,6207,245,331,189,1,10,777,13652,23025,-999,16,329,46556
ORD,"Chicago, IL: Chicago O'Hare International",November,2012,24620,828,1413,1098,4,121,3466,70272,92784,53905,153,20097,237211
SAN,"San Diego, CA: San Diego International",November,2012,6087,300,346,218,3,24,893,14851,20787,7124,69,4059,46890
SFO,"San Francisco, CA: San Francisco International",November,2012,13645,564,863,1864,0,65,3359,37845,64508,147139,13,6465,255970
SLC,"Salt Lake City, UT: Salt Lake City International",November,2012,8551,228,390,189,2,18,827,14381,22727,5505,38,1449,44100
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",December,2012,31019,1203,1920,1574,7,122,4825,94816,118043,55137,268,9916,278180
DEN,"Denver, CO: Denver International",n/a,2012,18601,1216,1878,1553,18,82,4747,68796,111912,57709,568,5549,244534
IAD,"Washington, DC: Washington Dulles International",December,2012,6197,315,598,253,0,37,1200,18402,42458,11755,0,2728,75343
ORD,"Chicago, IL: Chicago O'Hare International",December,2012,23741,1118,2261,1650,7,128,5166,101585,159647,NA,930,10700,353592
SAN,"San Diego, CA: San Diego International",December,2012,6324,515,656,404,5,18,1596,23839,35693,12568,121,1255,73476
SFO,"San Francisco, CA: San Francisco International",December,2012,13823,864,1280,2247,8,113,4514,57699,93994,163938,209,6999,322839
SLC,"Salt Lake City, UT: Salt Lake City International",December,2012,8872,489,691,468,4,35,1684,25080,37822,14334,149,2096,79481
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",January,NA,32355,1055,1460,1807,2,147,4472,87521,92496,74375,119,16863,271374
DEN,"Denver, CO: Denver International",January,2013,17809,845,1183,1497,9,69,3602,NA,71552,52943,212,4684,178319
IAD,"Washington, DC: Washington Dulles International",January,2013,6024,261,419,214,3,19,918,15485,29747,7590,155,1603,54580
ORD,"Chicago, IL: Chicago O'Hare International",January,2013,23878,1046,2186,1969,11,97,5310,96035,143243,97646,713,12514,350151
SAN,"San Diego, CA: San Diego International",January,2013,6120,334,311,223,1,15,886,16337,14246,7504,24,1873,39984
SFO,"San Francisco, CA: San Francisco International",January,2013,13214,515,730,827,3,61,2136,30799,41750,33147,76,3211,108983
SLC,"Salt Lake City, UT: Salt Lake City International",January,2013,9058,395,620,603,5,64,1686,NA,42118,25138,117,6879,101104
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Febuary,2013,29447,959,1540,1726,1,119,4345,83007,86699,56995,156,9239,236096
DEN,,Febuary,2013,16616,710,1175,1224,6,85,3196,40368,72621,57503,128,6926,177546
IAD,"Washington, DC: Washington Dulles International",Febuary,2013,5366,273,464,232,0,19,988,16846,30247,9088,0,1242,57423
ORD,"Chicago, IL: Chicago O'Hare International",Febuary,2013,22179,984,2361,2473,3,120,5942,87111,164965,146089,52,10016,408233
SAN,"San Diego, CA: San Diego International",Febuary,2013,5609,274,274,202,2,25,776,13317,12967,7939,100,1519,35842
SFO,"San Francisco, CA: San Francisco International",Febuary,2013,12026,470,643,868,2,57,2038,NA,40899,NA,151,2931,114127
SLC,"Salt Lake City, UT: Salt Lake City International",Febuary,2013,8262,327,421,296,3,37,1085,19234,24322,9658,83,2709,56006
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",March,NA,34682,1182,2139,1990,3,165,5479,98034,133049,87848,198,18555,337684
DEN,"Denver, CO: Denver International",March,2013,19520,899,1484,1427,10,129,3948,52037,96442,76876,364,11637,237356
IAD,"Washington, DC: Washington Dulles International",March,2013,6231,342,518,296,1,20,1179,20981,36148,11936,24,921,70010
ORD,"Chicago, IL: Chicago O'Hare International",March,2013,25505,1057,2253,1747,8,86,5149,82790,153823,84113,187,8283,329196
SAN,"San Diego, CA: San Diego International",March,2013,6496,349,460,248,3,37,1096,16458,24110,8302,136,1989,50995
SFO,"San Francisco, CA: San Francisco International",March,2013,13871,607,936,1353,3,88,2989,38076,62641,83279,141,6075,190212
SLC,"Salt Lake City, UT: Salt Lake City International",March,2013,10092,370,527,359,4,33,1292,NA,29787,12251,182,2957,67608
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",April,2013,33654,1216,2066,1957,5,142,5384,102382,127470,72221,206,12907,315186
DEN,"Denver, CO: Denver International",April,2013,18451,829,1591,1732,14,163,4330,54118,104003,93102,598,15646,267467
IAD,"Washington, DC: Washington Dulles International",April,2013,6160,276,601,293,2,24,1193,17873,44046,12668,70,1703,76360
ORD,"Chicago, IL: Chicago O'Hare International",April,2013,26046,1118,2772,3077,3,126,7097,115285,236168,274868,381,19267,645969
SAN,"San Diego, CA: San Diego International",April,2013,6393,407,578,309,4,21,1317,18556,28993,10820,131,1524,60024
SFO,"San Francisco, CA: San Francisco International",April,2013,13715,640,1074,1880,4,79,3679,39810,72664,105176,218,6102,223970
SLC,"Salt Lake City, UT: Salt Lake City International",April,2013,9425,330,495,452,4,20,1299,22704,27715,NA,107,1441,66589
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",May,2013,34412,1252,2139,1958,9,123,5480,99659,140009,71878,653,8686,320885
DEN,"Denver, CO: Denver International",May,2013,19060,779,1389,1325,8,136,3636,42727,85742,63205,198,10498,202370
IAD,"Washington, DC: Washington Dulles International",May,2013,6482,362,586,526,1,56,1532,22113,42362,25272,22,3387,93156
ORD,"Chicago, IL: Chicago O'Hare International",May,2013,27023,1061,2592,2728,2,170,6550,88809,190823,198471,172,17983,496258
SAN,"San Diego, CA: San Diego International",May,2013,6612,334,479,184,2,16,1016,15648,25765,7010,54,1300,49777
SFO,"San Francisco, CA: San Francisco International",May,2013,14300,571,1037,1611,3,96,3318,38411,71309,105794,90,7544,223148
SLC,"Salt Lake City, UT: Salt Lake City International",May,2013,9378,285,408,300,3,23,1017,17186,22454,9845,38,2210,51733
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",June,2013,34436,1500+,-999,3410,7,415,9474,163113,274196,190287,628,38212,666436
DEN,"Denver, CO: Denver International",June,2013,19536,1136,2082,1291,11,129,4650,74049,137197,56039,264,10810,278359
IAD,"Washington, DC: Washington Dulles International",June,2013,6527,416,794,554,1,70,1835,26133,65096,30333,38,6199,127799
ORD,"Chicago, IL: Chicago O'Hare International",June,2013,27274,1449,3969,2959,5,205,8585,134629,317867,207294,237,19577,679604
SAN,"San Diego, CA: San Diego International",June,2013,6763,509,746,385,1,51,1693,27818,44059,14289,109,3507,89782
SFO,"San Francisco, CA: San Francisco International",June,2013,14768,845,1367,2587,2,138,4940,57984,107797,208991,142,12404,387318
SLC,"Salt Lake City, UT: Salt Lake City International",June,2013,9994,466,617,258,4,50,1393,28872,38249,10065,138,4004,81328
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",July,2013,35541,1500+,-999,4467,6,423,10827,180809,286368,252372,365,38063,757977
DEN,"Denver, CO: Denver International",July,2013,20254,1141,1969,1585,11,125,4832,70206,130777,NA,383,10700,285643
IAD,"Washington, DC: Washington Dulles International",July,2013,6559,412,801,569,2,48,1834,26224,57228,29333,62,4175,117022
ORD,"Chicago, IL: Chicago O'Hare International",July,2013,27970,1327,3373,1914,4,151,6767,100419,218067,87397,110,11564,417557
SAN,"San Diego, CA: San Diego International",July,2013,7015,489,706,281,3,30,1510,25509,39356,11634,75,2351,78925
SFO,"San Francisco, CA: San Francisco International",July,2013,15401,808,1547,3225,3,105,5688,60661,128218,270179,57,8514,467629
SLC,"Salt Lake City, UT: Salt Lake City International",July,2013,10328,500,623,311,1,37,1473,33419,35601,11123,10,1921,82074
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",August,2013,35139,1462,2609,2737,4,176,6985,114996,157153,101293,333,12696,386471
DEN,,n/a,2013,20027,1113,1714,1380,11,89,4306,64301,98085,59598,478,8015,230477
IAD,"Washington, DC: Washington Dulles International",August,2013,6509,354,565,273,1,26,1217,20751,38526,10907,27,1852,72063
ORD,"Chicago, IL: Chicago O'Hare International",August,2013,27714,1019,2383,2073,5,118,5596,71991,154117,119599,233,10028,355968
SAN,"San Diego, CA: San Diego International",August,2013,6850,459,698,304,2,24,1489,22457,37416,9622,59,1840,71394
SFO,"San Francisco, CA: San Francisco International",August,2013,15478,807,1651,2842,4,105,5411,50844,116979,183265,155,7795,359038
SLC,"Salt Lake City, UT: Salt Lake City International",August,2013,10402,409,555,235,2,27,1228,26408,30551,7805,46,1644,66454
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",September,2013,32046,921,1442,1477,1,97,3940,NA,84179,NA,88,5961,212088
DEN,"Denver, CO: Denver International",September,2013,18823,789,1323,1452,5,96,3667,47819,79836,65269,189,9596,202709
IAD,"Washington, DC: Washington Dulles International",September,2013,6118,249,338,306,2,32,926,14020,24700,16997,43,2346,58106
ORD,"Chicago, IL: Chicago O'Hare International",September,2013,25285,741,1362,1280,2,87,3473,56470,93084,96578,41,11482,257655
SAN,"San Diego, CA: San Diego International",September,2013,6166,372,576,202,1,20,1171,17631,28340,6997,48,1278,54294
SFO,"San Francisco, CA: San Francisco International",September,2013,13903,518,1009,1860,4,98,3488,34648,71314,125258,133,7136,238489
SLC,"Salt Lake City, UT: Salt Lake City International",September,2013,9137,309,400,227,1,35,970,20019,22489,7322,54,1785,51669
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",October,2013,33810,946,1389,1290,4,36,3668,77027,72635,41595,204,3432,194893
DEN,"Denver, CO: Denver International",October,2013,19405,798,1295,1304,5,56,3459,43167,68675,46771,120,3959,162692
IAD,"Washington, DC: Washington Dulles International",October,2013,6513,238,440,222,3,11,915,14381,28020,8614,86,848,51949
ORD,"Chicago, IL: Chicago O'Hare International",October,2013,26539,888,1829,1719,2,72,4510,63261,105461,72196,45,5204,246167
SAN,"San Diego, CA: San Diego International",October,2013,6383,385,484,345,5,12,1232,16335,22385,9838,134,455,49147
SFO,"San Francisco, CA: San Francisco International",October,2013,14295,565,912,1325,3,40,2844,33069,58536,87116,89,2907,181717
SLC,"Salt Lake City, UT: Salt Lake City International",October,2013,9264,282,385,219,2,7,897,15705,18303,6203,65,746,41022
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",November,NA,31466,1044,1680,1900,10,79,4714,91113,94085,59238,1032,6587,252055
DEN,"Denver, CO: Denver International",November,2013,17962,745,1163,884,9,47,2848,44207,65241,33954,256,3237,146895
IAD,"Washington, DC: Washington Dulles International",November,2013,5887,234,403,238,3,26,901,14584,28053,10262,562,955,54416
ORD,"Chicago, IL: Chicago O'Hare International",November,2013,24033,825,1446,1698,4,70,4045,NA,88910,94074,642,6966,252473
SAN,"San Diego, CA: San Diego International",November,2013,6029,347,407,246,2,24,1023,15110,20199,8474,176,1796,45755
SFO,,November,2013,13289,522,742,975,9,44,2294,31903,49355,47038,948,2045,131289
SLC,"Salt Lake City, UT: Salt Lake City International",November,2013,8510,288,324,183,2,11,809,NA,18747,5340,201,1740,43203
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",December,2013,31894,1500+,2782,2739,11,210,7524,135389,165660,95299,489,18616,415453
DEN,"Denver, CO: Denver International",December,2013,19028,1500+,2639,1996,13,144,6423,90167,168708,85521,429,12528,357353
IAD,"Washington, DC: Washington Dulles International",December,2013,5789,394,634,288,1,38,1356,NA,46116,12285,59,2108,85410
ORD,"Chicago, IL: Chicago O'Hare International",December,2013,23086,1416,2777,3025,4,224,7446,110431,199396,140673,110,17584,468194
SAN,"San Diego, CA: San Diego International",December,2013,6243,552,804,352,2,42,1751,25234,40274,14033,40,2960,82541
SFO,"San Francisco, CA: San Francisco International",December,2013,13809,885,1137,954,4,157,3138,50220,67415,39728,142,9077,166582
SLC,"Salt Lake City, UT: Salt Lake City International",December,2013,8737,587,893,670,7,109,2265,37255,55137,28895,262,14902,136451
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",January,2014,30784,1500+,2983,2434,3,307,7528,169797,210377,131885,121,34635,546815
DEN,"Denver, CO: Denver International",January,2014,17955,1273,2079,1693,8,166,5218,88074,148547,76541,282,15995,329439
IAD,"Washington, DC: Washington Dulles International",January,2014,4688,349,567,229,0,52,1198,28165,46187,-999,1,4043,90522
ORD,"Chicago, IL: Chicago O'Hare International",January,2014,21529,1193,2301,2771,1,240,6509,105371,194127,169934,32,24605,494069
SAN,"San Diego, CA: San Diego International",January,2014,6086,509,684,278,4,91,1566,26173,43181,NA,162,7297,87893
SFO,"San Francisco, CA: San Francisco International",January,2014,13539,819,1195,1161,1,210,3387,50032,83675,52747,21,15850,202325
SLC,"Salt Lake City, UT: Salt Lake City International",January,2014,8676,476,650,443,3,99,1671,33578,41215,16947,107,8751,100598
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Febuary,2014,27982,1195,1960,1539,3,187,4884,103196,116466,52641,142,20414,292859
DEN,"Denver, CO: Denver International",Febuary,2014,16179,1049,1790,1562,3,129,4532,63712,109629,67063,76,12183,252663
IAD,"Washington, DC: Washington Dulles International",Febuary,2014,4222,221,438,137,0,20,818,14494,31882,6197,0,1700,54273
ORD,"Chicago, IL: Chicago O'Hare International",Febuary,2014,19812,1084,2041,2078,2,127,5332,87681,142872,114502,51,10679,355785
SAN,"San Diego, CA: San Diego International",Febuary,2014,5485,469,638,363,1,42,1515,22082,35227,13226,21,2954,73510
SFO,"San Francisco, CA: San Francisco International",Febuary,2014,12081,716,1174,2468,6,151,4516,44702,89615,184589,240,13294,332440
SLC,"Salt Lake City, UT: Salt Lake City International",Febuary,2014,7807,432,481,340,2,39,1295,26186,26467,11685,37,4205,68580
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",March,NA,32702,1432,2473,1975,5,117,6001,113515,145086,66091,148,14219,339059
DEN,"Denver, CO: Denver International",March,2014,18996,978,1749,1305,4,105,4145,55406,102708,60332,138,8326,226910
IAD,"Washington, DC: Washington Dulles International",March,2014,5215,265,478,208,0,18,973,15344,35154,9941,0,2317,62756
ORD,"Chicago, IL: Chicago O'Hare International",March,2014,22922,1028,1998,2168,2,95,5293,71619,124701,117021,118,10062,323521
SAN,"San Diego, CA: San Diego International",n/a,2014,6430,436,618,254,1,17,1326,NA,29958,7511,25,1052,57384
SFO,"San Francisco, CA: San Francisco International",March,2014,13846,704,1185,1372,2,73,3335,37913,70490,72424,67,4772,185666
SLC,"Salt Lake City, UT: Salt Lake City International",March,2014,9371,409,530,291,0,20,1254,22653,27544,9387,25,2191,61800
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",April,2014,31117,1177,2128,1826,4,104,5240,96747,121418,60865,249,8849,288128
DEN,"Denver, CO: Denver International",April,2014,17455,821,1364,831,3,53,3072,NA,77283,34012,107,4890,165260
IAD,"Washington, DC: Washington Dulles International",April,2014,4987,220,417,238,2,20,897,12093,27505,10361,40,1035,51034
ORD,"Chicago, IL: Chicago O'Hare International",April,2014,23234,855,1866,2615,7,115,5456,68340,126032,131417,228,9417,335434
SAN,"San Diego, CA: San Diego International",April,2014,6255,396,626,254,1,15,1292,18014,31133,9136,44,1068,59395
SFO,"San Francisco, CA: San Francisco International",April,2014,13734,599,999,1251,3,55,2908,38020,63647,70258,69,2694,174688
SLC,"Salt Lake City, UT: Salt Lake City International",April,2014,8728,332,453,218,1,18,1022,19044,24736,7260,15,1210,52265
ATL,,May,2014,31799,1323,2052,1624,7,130,5135,111962,124918,62921,378,9651,309830
DEN,"Denver, CO: Denver International",May,2014,18997,1009,1644,1423,1,146,4224,63075,105341,70846,48,15016,254326
IAD,"Washington, DC: Washington Dulles International",May,2014,5105,292,483,277,2,22,1076,18789,40493,15383,79,1392,76136
ORD,"Chicago, IL: Chicago O'Hare International",May,2014,24634,1161,2483,3327,8,159,7137,86696,171124,181691,265,23533,463309
SAN,"San Diego, CA: San Diego International",May,2014,6450,452,667,202,1,22,1342,20050,35302,8208,80,1866,65506
SFO,"San Francisco, CA: San Francisco International",May,2014,14164,682,1153,1777,5,87,3704,42414,71648,84873,149,5890,204974
SLC,"Salt Lake City, UT: Salt Lake City International",May,2014,8804,331,490,184,0,26,1034,22589,26265,6954,9,2434,58251
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",June,2014,30945,1379,2524,2085,7,231,6226,107958,161527,92698,199,19106,381488
