airport_code,airport_name,month,year,num_of_flights_total,num_of_delays_carrier,num_of_delays_late_aircraft,num_of_delays_nas,num_of_delays_security,num_of_delays_weather,num_of_delays_total,minutes_delayed_carrier,minutes_delayed_late_aircraft,minutes_delayed_nas,minutes_delayed_security,minutes_delayed_weather,minutes_delayed_total
SFO,"San Francisco, CA: San Francisco International",March,2011,11968,497,1105,2426,4,61,4092,32807,81344,154407,116,5858,274532
SLC,"Salt Lake City, UT: Salt Lake City International",n/a,2011,10817,434,752,490,4,20,1702,23954,39343,13916,110,2133,79456
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",April,2011,32549,1290,2895,2356,4,149,6694,95015,182636,95455,354,12685,386145
DEN,"Denver, CO: Denver International",April,2011,19247,716,1447,1058,6,87,3316,42082,82568,35940,241,6984,167815
IAD,"Washington, DC: Washington Dulles International",April,2011,6674,355,570,415,1,26,1363,24844,40035,14035,48,1818,80780
ORD,"Chicago, IL: Chicago O'Hare International",April,2011,26422,1046,2509,3527,4,167,7254,87844,176293,245536,139,15542,525354
SAN,"San Diego, CA: San Diego International",April,2011,6200,438,601,398,6,18,1460,20581,31729,13462,163,1563,67498
SFO,"San Francisco, CA: San Francisco International",April,2011,11470,528,926,1371,3,54,2884,NA,55224,57710,92,3963,146034
SLC,"Salt Lake City, UT: Salt Lake City International",April,2011,9845,412,615,585,3,26,1639,NA,30361,17307,139,2312,73786
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",May,2011,34077,1240,2607,1879,2,109,5838,91892,175908,93978,105,11511,373394
DEN,"Denver, CO: Denver International",May,2011,20188,823,1555,1104,4,125,3611,NA,100148,46300,84,9984,201979
IAD,"Washington, DC: Washington Dulles International",May,2011,7034,342,652,642,2,38,1676,22888,50663,25270,35,3479,102335
ORD,"Chicago, IL: Chicago O'Hare International",n/a,2011,27227,1000,2371,3213,4,174,6760,91244,180449,263819,243,23808,559563
SAN,"San Diego, CA: San Diego International",May,2011,6518,422,528,272,5,38,1265,18457,29440,10530,118,3581,62126
SFO,"San Francisco, CA: San Francisco International",May,2011,11873,549,961,1449,7,71,3037,32240,63083,78143,161,6201,179828
SLC,"Salt Lake City, UT: Salt Lake City International",May,2011,10045,367,481,300,3,35,1184,NA,27916,11023,85,3480,63080
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",June,2011,34134,1500+,3468,2841,5,218,8192,136034,249032,154989,607,19300,559962
DEN,"Denver, CO: Denver International",June,2011,21465,929,1755,1014,13,81,3790,59778,111699,43336,630,7466,222909
IAD,,June,2011,6677,424,663,423,0,29,1543,31766,51824,17415,41,2622,103672
ORD,"Chicago, IL: Chicago O'Hare International",June,2011,27667,1214,2607,2108,3,211,6146,97885,183231,138890,217,30713,450936
SAN,"San Diego, CA: San Diego International",June,2011,6623,491,594,284,1,30,1398,25644,32318,NA,32,2266,70526
SFO,"San Francisco, CA: San Francisco International",June,2011,12381,657,1301,1750,7,81,3793,43201,91101,99006,244,6923,240475
SLC,"Salt Lake City, UT: Salt Lake City International",June,2011,10460,419,552,275,1,40,1287,21955,29281,9450,18,2399,63103
ATL,,July,2011,35052,1500+,3202,2942,2,201,8046,130919,234732,NA,69,18591,538878
DEN,"Denver, CO: Denver International",July,2011,22447,951,1875,1495,9,190,4521,NA,123286,74426,313,15626,273543
IAD,,July,2011,6733,381,709,436,2,49,1577,26755,56924,18882,22,4921,107504
ORD,"Chicago, IL: Chicago O'Hare International",July,2011,28508,1187,3038,2335,3,172,6737,91655,222481,138525,227,16504,469392
SAN,"San Diego, CA: San Diego International",July,2011,6865,397,516,143,1,35,1088,20676,31184,5465,19,2526,59870
SFO,"San Francisco, CA: San Francisco International",July,2011,12953,581,1430,1950,1,109,4069,43252,107652,140884,34,9562,301384
SLC,"Salt Lake City, UT: Salt Lake City International",July,2011,11002,392,670,247,3,34,1344,23827,40965,8040,104,2005,74941
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",August,NA,34781,1309,2340,1901,2,155,5705,103156,156898,78672,182,11091,349999
DEN,"Denver, CO: Denver International",August,2011,22524,812,1481,951,9,81,3334,45657,88063,32163,303,5590,171776
